2018-2-20,squat,10,45
2018-2-20,squat,8,95
2018-2-20,squat,6,125
2018-2-20,squat,4,145
2018-2-20,squat,4,145
2018-2-20,squat,4,145
2018-2-20,squat,4,145
2018-2-20,bench,10,45
2018-2-20,bench,10,75
2018-2-20,bench,8,85
2018-2-20,bench,5,90
2018-2-20,bench,5,90
2018-2-20,bench,5,90
2018-2-20,bench,5,90
2018-2-17,deadlift,8,95
2018-2-17,deadlift,8,95
2018-2-17,deadlift,6,135
2018-2-17,deadlift,6,135
2018-2-17,deadlift,5,145
2018-2-17,deadlift,5,145
2018-2-17,deadlift,5,145
2018-2-17,deadlift,5,145
2018-2-17,deadlift,5,145
2018-2-17,deadlift,5,145
2018-2-17,bench,10,45
2018-2-17,bench,10,45
2018-2-17,bench,10,75
2018-2-17,bench,10,75
2018-2-17,bench,7,85
2018-2-17,bench,7,85
2018-2-17,bench,8,85
2018-2-17,bench,8,85
2018-2-17,bench,4,90
2018-2-17,bench,4,90
2018-2-17,bench,4,90
2018-2-17,bench,4,90
2018-2-17,bench,4,90
2018-2-17,bench,4,90
2018-2-17,bench,5,90
2018-2-17,bench,5,90
2018-2-17,bench,5,80
2018-2-17,bench,5,80
2018-2-13,deadlift,8,95
2018-2-13,deadlift,8,135
2018-2-13,deadlift,5,150
2018-2-13,deadlift,5,155
2018-2-13,deadlift,5,150
2018-2-13,deadlift,5,145
2018-2-13,bench,8,45
2018-2-13,bench,8,75
2018-2-13,bench,8,85
2018-2-13,bench,5,90
2018-2-13,bench,5,90
2018-2-13,bench,5,90
2018-2-13,bench,5,90
2018-2-10,deadlift,8,95
2018-2-10,deadlift,5,135
2018-2-10,deadlift,5,145
2018-2-10,deadlift,5,145
2018-2-10,deadlift,5,150
2018-2-10,bench,10,45
2018-2-10,bench,8,75
2018-2-10,bench,8,85
2018-2-10,bench,8,85
2018-2-10,bench,3,90
2018-2-10,bench,3,90
2018-2-10,bench,3,90
2018-2-6,deadlift,8,95
2018-2-6,deadlift,5,135
2018-2-6,deadlift,5,145
2018-2-6,deadlift,5,145
2018-2-6,deadlift,5,145
2018-2-6,deadlift,5,145
2018-2-6,squat,10,45
